,Instance,Best Cost,Time
0,results/scenario1/correlated_sc1/300/result.txt,"701,1","0,00200405"
1,results/scenario1/correlated_sc1/500/result.txt,"621,444","0,00456182"
2,results/scenario1/correlated_sc1/700/result.txt,"510,7","0,00573616"
3,results/scenario1/correlated_sc1/800/result.txt,"473,1","0,0067664"
4,results/scenario1/correlated_sc1/1000/result.txt,"425,4","0,00893093"
5,results/scenario1/fully_correlated_sc1/300/result.txt,"673,9","0,00200551"
6,results/scenario1/fully_correlated_sc1/500/result.txt,"637,3","0,00418945"
7,results/scenario1/fully_correlated_sc1/700/result.txt,"572,9","0,00646236"
8,results/scenario1/fully_correlated_sc1/800/result.txt,"513,6","0,00737463"
9,results/scenario1/fully_correlated_sc1/1000/result.txt,"473,1","0,0102066"
10,results/scenario1/not_correlated_sc1/300/result.txt,"592,3","0,00193003"
11,results/scenario1/not_correlated_sc1/500/result.txt,"471,7","0,00356661"
12,results/scenario1/not_correlated_sc1/700/result.txt,"367,9","0,00469911"
13,results/scenario1/not_correlated_sc1/800/result.txt,"369,1","0,00567858"
14,results/scenario1/not_correlated_sc1/1000/result.txt,"301,0","0,0065846"
